,x0,x1,x2,x3,char
0,2.9,7.25,4.86,3.98,C
1,3.14,3.14,5.72,5.81,A
2,2.65,6.93,3.42,5.12,D
3,3.82,8.7,2.47,5.44,C
4,1.56,6.46,4.98,6.85,D
5,3.52,3.66,4.83,7.84,A
6,3.18,2.95,5.87,6.26,A
7,4.68,7.18,3.14,5.69,C
8,5.22,8.04,1.74,5.33,C
9,5.88,5.72,2.4,9.41,B
10,5.32,4.45,4.23,5.92,B
11,1.74,7.08,4.18,6.55,D
12,5.71,5.23,3.07,7.77,B
13,4.54,5.0,2.46,6.93,A
14,4.45,3.66,3.89,6.36,A
15,1.67,2.92,7.41,8.04,A
16,5.51,8.02,1.48,6.18,C
17,4.02,6.23,2.75,6.73,D
18,5.36,6.49,2.15,8.4,B
19,2.45,6.43,4.12,5.64,D
20,3.05,4.53,4.42,8.41,A
21,2.73,2.44,6.83,8.09,A
22,4.13,6.62,4.25,4.62,C
23,3.11,7.38,2.51,5.38,D
24,4.11,7.98,2.91,4.93,C
25,3.57,8.13,3.3,5.82,C
26,3.69,3.48,4.83,8.63,A
27,3.55,8.13,3.32,4.11,C
28,2.36,6.93,3.7,4.38,D
29,3.41,5.6,4.99,6.11,B
30,5.13,6.47,2.4,6.34,B
31,4.31,4.98,2.71,5.95,A
32,4.37,5.6,4.03,7.01,B
33,3.5,7.59,3.92,5.58,C
34,4.03,5.81,4.15,6.32,B
35,4.47,6.49,3.04,5.84,B
36,1.73,6.86,4.41,6.22,D
37,2.68,7.96,2.36,5.28,D
38,2.97,5.82,5.21,7.35,B
39,4.11,7.92,2.97,6.01,C
40,2.9,5.45,4.65,6.35,D
41,3.2,7.11,2.69,6.16,D
42,2.67,3.65,5.68,7.18,A
43,3.8,8.28,2.92,4.7,C
44,4.12,5.88,4.0,5.51,B
45,4.23,8.65,2.11,4.99,C
46,3.21,6.97,2.82,5.94,D
47,3.06,6.8,3.14,6.08,D
48,4.49,8.18,2.32,5.41,C
49,3.76,4.59,5.65,6.69,B
50,2.67,3.6,5.73,6.3,A
51,3.45,4.53,4.02,7.26,A
52,0.1,5.68,8.22,2.49,B
53,4.32,7.58,3.1,5.51,C
54,3.95,8.79,2.26,4.97,C
55,1.37,7.08,4.56,5.3,D
56,2.06,6.3,4.64,6.14,D
57,1.69,9.07,4.24,3.12,C
58,1.25,5.63,6.13,6.76,D
59,5.19,4.56,4.25,7.05,B
60,2.6,6.3,4.1,7.82,D
61,0.54,8.41,4.05,4.48,D
62,4.02,8.1,2.88,5.91,C
63,0.35,7.23,5.42,5.24,D
64,4.91,6.25,2.83,6.21,B
65,5.41,2.88,3.7,8.23,A
66,4.9,6.49,2.6,6.64,B
67,2.54,7.95,4.52,3.86,C
68,2.53,4.97,4.5,7.98,A
69,3.56,8.55,2.9,4.76,C
70,2.23,4.03,5.74,5.67,A
71,2.51,7.19,4.3,4.48,B
72,2.61,6.52,3.87,5.85,D
73,4.26,7.57,3.17,4.64,C
74,3.96,8.66,2.38,4.74,C
75,1.86,5.71,5.44,7.01,D
76,1.94,6.0,5.06,4.65,D
77,4.93,4.36,4.71,7.56,B
78,2.06,5.05,4.9,8.19,A
79,2.81,6.82,4.37,4.69,B
80,1.85,5.74,4.41,4.56,A
81,2.59,6.03,5.38,5.81,B
82,4.12,7.76,3.12,4.09,C
83,2.71,7.48,2.8,5.35,D
84,1.8,6.28,4.93,5.2,D
85,1.6,7.18,4.21,6.13,D
86,3.46,8.97,2.57,3.49,C
87,5.1,7.7,2.2,5.13,C
88,4.0,6.91,2.09,6.42,D
89,1.04,7.17,4.79,4.79,D
90,3.75,7.4,3.85,5.38,C
91,2.1,7.88,4.02,4.88,B
92,3.34,7.86,3.8,3.64,C
93,1.85,3.26,6.9,6.32,A
94,4.27,7.38,3.35,5.55,C
95,4.6,8.52,1.88,4.76,C
96,3.62,6.02,4.35,4.65,B
97,4.61,4.18,3.21,7.19,A
98,3.33,6.38,4.3,5.02,B
99,3.79,7.57,3.64,5.25,C
100,3.6,8.89,2.52,5.97,C
101,4.11,4.11,3.78,8.27,A
102,2.22,8.63,3.14,4.98,B
103,4.1,8.48,2.42,4.37,C
104,4.7,7.21,3.09,5.85,C
